SalesOrderNumber,SalesOrderLineNumber,SalesTerritoryKey,ResellerKey,PromotionKey,ProductKey,OrderQuantity,UnitPrice,OrderDate
SO44481,1,4,492,1,348,3,2024.994,2021/05/01 00:00:00.000
SO44481,2,4,492,1,349,5,2024.994,2021/05/01 00:00:00.000
SO44481,3,4,492,1,350,2,2024.994,2021/05/01 00:00:00.000
SO44481,4,4,492,1,351,2,2024.994,2021/05/01 00:00:00.000
SO44481,5,4,492,1,345,1,2039.994,2021/05/01 00:00:00.000
SO44481,6,4,492,1,223,2,5.1865,2021/05/01 00:00:00.000
SO44481,7,4,492,1,218,3,5.7,2021/05/01 00:00:00.000
SO44482,1,3,129,1,324,1,419.4589,2021/05/01 00:00:00.000
SO44483,1,1,271,1,322,1,419.4589,2021/05/01 00:00:00.000
SO44483,2,1,271,1,319,2,874.794,2021/05/01 00:00:00.000
SO44483,3,1,271,1,223,2,5.1865,2021/05/01 00:00:00.000
SO44483,4,1,271,1,342,2,419.4589,2021/05/01 00:00:00.000
SO44484,1,6,353,1,347,2,2039.994,2021/05/01 00:00:00.000
SO44484,2,6,353,1,218,6,5.7,2021/05/01 00:00:00.000
SO44484,3,6,353,1,219,1,5.7,2021/05/01 00:00:00.000
SO44484,4,6,353,1,344,1,2039.994,2021/05/01 00:00:00.000
SO44484,5,6,353,1,350,1,2024.994,2021/05/01 00:00:00.000
SO44485,1,6,390,1,349,2,2024.994,2021/05/01 00:00:00.000
SO44486,1,6,318,1,340,1,419.4589,2021/05/01 00:00:00.000
SO44486,2,6,318,1,272,1,183.9382,2021/05/01 00:00:00.000
SO44487,1,3,18,1,348,6,2024.994,2021/05/01 00:00:00.000
SO44487,2,3,18,1,347,3,2039.994,2021/05/01 00:00:00.000
SO44487,3,3,18,1,345,3,2039.994,2021/05/01 00:00:00.000
SO44487,4,3,18,1,300,2,809.76,2021/05/01 00:00:00.000
SO44487,5,3,18,1,292,2,818.7,2021/05/01 00:00:00.000
SO44487,6,3,18,1,346,2,2039.994,2021/05/01 00:00:00.000
SO44487,7,3,18,1,218,3,5.7,2021/05/01 00:00:00.000
SO44487,8,3,18,1,349,5,2024.994,2021/05/01 00:00:00.000
SO44488,1,5,206,1,340,1,419.4589,2021/05/01 00:00:00.000
SO44488,2,5,206,1,338,1,419.4589,2021/05/01 00:00:00.000
SO44488,3,5,206,1,212,1,20.1865,2021/05/01 00:00:00.000
SO44488,4,5,206,1,334,2,419.4589,2021/05/01 00:00:00.000
SO44488,5,5,206,1,253,1,178.5808,2021/05/01 00:00:00.000
SO44488,6,5,206,1,220,3,20.1865,2021/05/01 00:00:00.000
SO44488,7,5,206,1,342,2,419.4589,2021/05/01 00:00:00.000
SO44488,8,5,206,1,232,2,28.8404,2021/05/01 00:00:00.000
