SalesOrderNumber,SalesOrderLineNumber,SalesTerritoryKey,ResellerKey,PromotionKey,ProductKey,OrderQuantity,UnitPrice,OrderDate
SO49039,1,6,65,1,469,2,22.794,2022-07-31 00:00:00.000
SO49039,2,6,65,1,468,5,22.794,2022-07-31 00:00:00.000
SO49039,3,6,65,1,360,2,1229.4589,2022-07-31 00:00:00.000
SO49039,4,6,65,1,358,2,1229.4589,2022-07-31 00:00:00.000
SO49039,5,6,65,1,470,4,22.794,2022-07-31 00:00:00.000
SO49040,1,3,18,1,397,2,24.2945,2022-07-31 00:00:00.000
SO49040,2,3,18,1,393,3,137.694,2022-07-31 00:00:00.000
SO49040,3,3,18,1,469,3,22.794,2022-07-31 00:00:00.000
SO49040,4,3,18,1,356,1,1242.8518,2022-07-31 00:00:00.000
SO49040,5,3,18,1,365,3,647.994,2022-07-31 00:00:00.000
SO49040,6,3,18,1,358,2,1229.4589,2022-07-31 00:00:00.000
SO49040,7,3,18,1,428,1,209.256,2022-07-31 00:00:00.000
SO49040,8,3,18,1,297,3,736.1455,2022-07-31 00:00:00.000
SO49040,9,3,18,1,399,1,33.7745,2022-07-31 00:00:00.000
SO49040,10,3,18,1,410,2,36.447,2022-07-31 00:00:00.000
SO49040,11,3,18,1,421,5,196.329,2022-07-31 00:00:00.000
SO49040,12,3,18,1,470,2,22.794,2022-07-31 00:00:00.000
SO49040,13,3,18,1,367,3,647.994,2022-07-31 00:00:00.000
SO49040,14,3,18,1,427,3,209.256,2022-07-31 00:00:00.000
SO49040,15,3,18,1,360,1,1229.4589,2022-07-31 00:00:00.000
SO49040,16,3,18,1,366,1,647.994,2022-07-31 00:00:00.000
SO49040,17,3,18,1,308,2,744.2727,2022-07-31 00:00:00.000
SO49040,18,3,18,1,354,1,1242.8518,2022-07-31 00:00:00.000
SO49040,19,3,18,1,458,1,44.994,2022-07-31 00:00:00.000
SO49040,20,3,18,1,395,5,61.374,2022-07-31 00:00:00.000
SO49041,1,6,353,1,469,1,22.794,2022-07-31 00:00:00.000
SO49041,2,6,353,1,468,2,22.794,2022-07-31 00:00:00.000
SO49041,3,6,353,1,470,6,22.794,2022-07-31 00:00:00.000
SO49042,1,6,334,1,335,1,469.794,2022-07-31 00:00:00.000
SO49042,2,6,334,1,221,3,20.1865,2022-07-31 00:00:00.000
SO49042,3,6,334,1,373,1,1308.9375,2022-07-31 00:00:00.000
SO49043,1,1,164,1,409,1,209.256,2022-07-31 00:00:00.000
SO49044,1,5,449,1,409,1,209.256,2022-07-31 00:00:00.000
SO49044,2,5,449,1,420,1,141.615,2022-07-31 00:00:00.000
SO49044,3,5,449,1,460,1,53.994,2022-07-31 00:00:00.000
SO49045,1,6,210,1,329,4,469.794,2022-07-31 00:00:00.000
SO49045,2,6,210,1,327,3,469.794,2022-07-31 00:00:00.000
SO49045,3,6,210,1,343,4,469.794,2022-07-31 00:00:00.000
SO49045,4,6,210,1,333,2,469.794,2022-07-31 00:00:00.000
SO49045,5,6,210,1,323,2,469.794,2022-07-31 00:00:00.000
SO49046,1,4,583,1,468,1,22.794,2022-07-31 00:00:00.000
SO49046,2,4,583,1,358,2,1229.4589,2022-07-31 00:00:00.000
SO49046,3,4,583,1,469,5,22.794,2022-07-31 00:00:00.000
SO49047,1,6,191,1,216,1,20.1865,2022-07-31 00:00:00.000
SO49047,2,6,191,1,341,1,469.794,2022-07-31 00:00:00.000
SO49048,1,6,101,1,323,1,469.794,2022-07-31 00:00:00.000
SO49048,2,6,101,1,329,3,469.794,2022-07-31 00:00:00.000
SO49048,3,6,101,1,333,2,469.794,2022-07-31 00:00:00.000
SO49048,4,6,101,1,343,4,469.794,2022-07-31 00:00:00.000
SO49049,1,6,389,1,470,2,22.794,2022-07-31 00:00:00.000
SO49049,2,6,389,1,469,4,22.794,2022-07-31 00:00:00.000
SO49050,1,2,36,1,422,1,67.539,2022-07-31 00:00:00.000
SO49050,2,2,36,1,286,1,183.9382,2022-07-31 00:00:00.000
SO49051,1,1,217,1,354,1,1242.8518,2022-07-31 00:00:00.000
SO49052,1,6,533,1,383,5,600.2625,2022-07-31 00:00:00.000
SO49052,2,6,533,1,325,5,469.794,2022-07-31 00:00:00.000
SO49052,3,6,533,1,373,7,1308.9375,2022-07-31 00:00:00.000
SO49052,4,6,533,1,341,7,469.794,2022-07-31 00:00:00.000
SO49052,5,6,533,1,456,4,44.994,2022-07-31 00:00:00.000
SO49052,6,6,533,1,343,6,469.794,2022-07-31 00:00:00.000
SO49052,7,6,533,1,370,6,1466.01,2022-07-31 00:00:00.000
SO49052,8,6,533,1,379,2,1308.9375,2022-07-31 00:00:00.000
SO49052,9,6,533,1,368,3,1466.01,2022-07-31 00:00:00.000
SO49052,10,6,533,1,335,1,469.794,2022-07-31 00:00:00.000
SO49052,11,6,533,1,458,3,44.994,2022-07-31 00:00:00.000
SO49052,12,6,533,1,329,1,469.794,2022-07-31 00:00:00.000
SO49052,13,6,533,1,327,3,469.794,2022-07-31 00:00:00.000
SO49052,14,6,533,1,422,1,67.539,2022-07-31 00:00:00.000
SO49052,15,6,533,1,389,3,600.2625,2022-07-31 00:00:00.000
